PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Auction,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Jahmyr Gibbs,RB,DET,67.0712643873,,0,0,0,0,0,255,1266.5,12.9,,80.3,63.5,511.3,3.1,337.3
Bijan Robinson,RB,ATL,66.4314336733,,0,0,0,0,0,269.1,1289.5,8.5,,93.2,71.5,650.7,3.2,335.7
Ja'Marr Chase,WR,CIN,63.4683312629,,0,0,0,0,0,3.6,18.1,0.1,,165.5,114.5,1441.5,10.8,325.9
Christian McCaffrey,RB,SF,58.6794050442,,0,0,0,0,0,250.3,1017.6,8.8,,89.7,71.8,625.6,4.6,316.5
Puka Nacua,WR,LAR,57.9533389848,,0,0,0,0,0,13.5,87,0.7,,153.7,108.7,1390.6,8.6,312.3
Jaxon Smith-Njigba,WR,SEA,56.5627244425,,0,0,0,0,0,5,24,0.1,,153.1,107.9,1452.1,8.8,308.9
Amon-Ra St. Brown,WR,DET,53.0223312066,,0,0,0,0,0,2,13.5,0.1,,154.2,109,1317.6,9.6,300.3
Jonathan Taylor,RB,IND,48.1966889435,,0,0,0,0,0,295.5,1376.2,11.7,,52.3,42.4,317.3,1.3,289.8
Justin Jefferson,WR,MIN,45.6334881291,,0,0,0,0,0,2.6,14.7,0.1,,155.2,103.7,1315.1,7.4,281.7
Brock Bowers,TE,LV,44.1558778871,,0,0,0,0,0,3.6,14.8,0.1,,129.1,93.7,984.4,7.3,238
Trey McBride,TE,ARZ,44.0708583922,,0,0,0,0,0,0,0,0,,140.4,101.5,997,6.1,237.8
CeeDee Lamb,WR,DAL,39.7895166543,,0,0,0,0,0,3.9,23.9,0.1,,143.2,93.7,1238.4,7.8,267.3
