Player,Position,Team,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Rec,ReYds,ReTD,FPTS,base,b_pass,b_rush,fum,LgPts,PosRank,VORP
Josh Allen,QB,BUF,3743.5,25.5,11.5,104.5,540.5,11.2,0.0,0.0,0.0,361.5,349.99,5.96,0.0,-6.83,349.1,1,89.6
Jahmyr Gibbs,RB,DET,0.0,0.0,0.0,255.0,1266.5,12.9,63.5,511.3,3.1,337.3,337.28,0.0,13.67,-2.55,348.4,1,168.3
Bijan Robinson,RB,ATL,0.0,0.0,0.0,269.1,1289.5,8.5,71.5,650.7,3.2,335.7,335.72,0.0,14.42,-2.72,347.4,2,167.3
Ja'Marr Chase,WR,CIN,0.0,0.0,0.0,3.6,18.1,0.1,114.5,1441.5,10.8,325.9,325.86,0.0,0.0,-0.94,324.9,1,149.4
Christian McCaffrey,RB,SF,0.0,0.0,0.0,250.3,1017.6,8.8,71.8,625.6,4.6,316.5,316.52,0.0,5.68,-2.58,319.6,3,139.5
Puka Nacua,WR,LAR,0.0,0.0,0.0,13.5,87.0,0.7,108.7,1390.6,8.6,312.3,312.26,0.0,0.0,-0.98,311.3,2,135.8
Lamar Jackson,QB,BAL,3626.9,25.4,9.8,118.2,621.6,3.8,0.0,0.0,0.0,321.8,312.04,4.57,0.04,-6.34,310.3,2,50.8
Jaxon Smith-Njigba,WR,SEA,0.0,0.0,0.0,5.0,24.0,0.1,107.9,1452.1,8.8,308.9,308.91,0.0,0.0,-0.9,308.0,3,132.5
Drake Maye,QB,NE,3883.5,26.0,11.0,87.5,469.6,3.6,0.0,0.0,0.0,316.9,305.9,7.87,0.0,-6.94,306.8,3,47.3
Joe Burrow,QB,CIN,4136.6,33.4,12.2,48.4,169.0,1.8,0.0,0.0,0.0,314.6,302.36,11.97,0.0,-7.91,306.4,4,46.9
Jonathan Taylor,RB,IND,0.0,0.0,0.0,295.5,1376.2,11.7,42.4,317.3,1.3,289.8,289.75,0.0,17.25,-2.7,304.3,4,124.2
Amon-Ra St. Brown,WR,DET,0.0,0.0,0.0,2.0,13.5,0.1,109.0,1317.6,9.6,300.3,300.31,0.0,0.0,-0.89,299.4,4,123.9
Jayden Daniels,QB,WAS,3578.6,21.7,10.7,117.7,627.2,4.7,0.0,0.0,0.0,310.2,299.46,4.06,0.05,-6.75,296.8,5,37.3
Caleb Williams,QB,CHI,3876.7,25.8,11.4,74.4,406.0,2.7,0.0,0.0,0.0,303.7,292.27,7.77,0.0,-7.57,292.5,6,33.0
Jalen Hurts,QB,PHI,3417.3,22.1,10.0,98.9,411.3,8.2,0.0,0.0,0.0,305.4,295.42,2.59,0.0,-6.31,291.7,7,32.2
Trevor Lawrence,QB,JAX,3837.7,25.0,12.5,69.4,319.4,4.8,0.0,0.0,0.0,301.8,289.25,7.22,0.0,-7.56,288.9,8,29.4
Justin Herbert,QB,LAC,3858.2,26.4,11.6,73.2,365.1,2.4,0.0,0.0,0.0,299.2,287.64,7.51,0.0,-7.26,287.9,9,28.4
Dak Prescott,QB,DAL,4051.7,28.9,11.8,48.9,175.8,2.0,0.0,0.0,0.0,295.5,283.65,10.51,0.0,-7.63,286.5,10,27.0
Brock Purdy,QB,SF,3936.2,26.4,11.8,55.6,230.8,3.2,0.0,0.0,0.0,293.5,281.73,8.66,0.0,-6.89,283.5,11,24.0
Justin Jefferson,WR,MIN,0.0,0.0,0.0,2.6,14.7,0.1,103.7,1315.1,7.4,281.7,281.68,0.0,0.0,-0.85,280.8,5,105.3
Patrick Mahomes,QB,KC,3938.0,26.2,12.4,51.4,274.8,2.4,0.0,0.0,0.0,291.8,279.4,8.69,0.0,-7.69,280.4,12,20.9
